system:index,date,mean,name,.geo
20240101T074458_20240102T234600_0,2024-01-01,2.3128060419856466E-4,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T074458_20240102T234600_1,2024-01-01,2.096767832881541E-4,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T074458_20240102T234600_2,2024-01-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T074458_20240102T234600_3,2024-01-01,1.0195765143000354E-4,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T074458_20240102T234600_4,2024-01-01,6.032322057990894E-5,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240101T092629_20240103T013304_0,2024-01-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T092629_20240103T013304_1,2024-01-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T092629_20240103T013304_2,2024-01-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T092629_20240103T013304_3,2024-01-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T092629_20240103T013304_4,2024-01-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240101T110759_20240103T033227_0,2024-01-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T110759_20240103T033227_1,2024-01-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T110759_20240103T033227_2,2024-01-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T110759_20240103T033227_3,2024-01-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T110759_20240103T033227_4,2024-01-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240101T124929_20240103T050455_0,2024-01-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T124929_20240103T050455_1,2024-01-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T124929_20240103T050455_2,2024-01-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T124929_20240103T050455_3,2024-01-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T124929_20240103T050455_4,2024-01-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240101T143058_20240103T063236_0,2024-01-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T143058_20240103T063236_1,2024-01-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T143058_20240103T063236_2,2024-01-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T143058_20240103T063236_3,2024-01-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T143058_20240103T063236_4,2024-01-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240101T161228_20240103T082604_0,2024-01-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T161228_20240103T082604_1,2024-01-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T161228_20240103T082604_2,2024-01-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T161228_20240103T082604_3,2024-01-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T161228_20240103T082604_4,2024-01-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240101T175358_20240103T102515_0,2024-01-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T175358_20240103T102515_1,2024-01-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T175358_20240103T102515_2,2024-01-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T175358_20240103T102515_3,2024-01-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T175358_20240103T102515_4,2024-01-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240101T193528_20240103T115151_0,2024-01-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T193528_20240103T115151_1,2024-01-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T193528_20240103T115151_2,2024-01-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T193528_20240103T115151_3,2024-01-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T193528_20240103T115151_4,2024-01-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240101T211658_20240103T131910_0,2024-01-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T211658_20240103T131910_1,2024-01-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T211658_20240103T131910_2,2024-01-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T211658_20240103T131910_3,2024-01-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T211658_20240103T131910_4,2024-01-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240101T225828_20240103T144821_0,2024-01-01,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240101T225828_20240103T144821_1,2024-01-01,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240101T225828_20240103T144821_2,2024-01-01,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240101T225828_20240103T144821_3,2024-01-01,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240101T225828_20240103T144821_4,2024-01-01,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240102T003958_20240103T164915_0,2024-01-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240102T003958_20240103T164915_1,2024-01-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240102T003958_20240103T164915_2,2024-01-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240102T003958_20240103T164915_3,2024-01-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240102T003958_20240103T164915_4,2024-01-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240102T022128_20240103T183004_0,2024-01-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240102T022128_20240103T183004_1,2024-01-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240102T022128_20240103T183004_2,2024-01-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240102T022128_20240103T183004_3,2024-01-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240102T022128_20240103T183004_4,2024-01-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240102T040258_20240103T202227_0,2024-01-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240102T040258_20240103T202227_1,2024-01-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240102T040258_20240103T202227_2,2024-01-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240102T040258_20240103T202227_3,2024-01-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240102T040258_20240103T202227_4,2024-01-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240102T054428_20240103T220645_0,2024-01-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240102T054428_20240103T220645_1,2024-01-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240102T054428_20240103T220645_2,2024-01-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240102T054428_20240103T220645_3,2024-01-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240102T054428_20240103T220645_4,2024-01-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240102T072558_20240103T233631_0,2024-01-02,3.0672733970378644E-4,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240102T072558_20240103T233631_1,2024-01-02,3.081652431703979E-4,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240102T072558_20240103T233631_2,2024-01-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240102T072558_20240103T233631_3,2024-01-02,7.776185593851348E-5,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240102T072558_20240103T233631_4,2024-01-02,6.48866169151708E-5,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240102T090729_20240104T011611_0,2024-01-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240102T090729_20240104T011611_1,2024-01-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240102T090729_20240104T011611_2,2024-01-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240102T090729_20240104T011611_3,2024-01-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240102T090729_20240104T011611_4,2024-01-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240102T104859_20240104T030632_0,2024-01-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240102T104859_20240104T030632_1,2024-01-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240102T104859_20240104T030632_2,2024-01-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240102T104859_20240104T030632_3,2024-01-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240102T104859_20240104T030632_4,2024-01-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240102T123029_20240104T045503_0,2024-01-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240102T123029_20240104T045503_1,2024-01-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240102T123029_20240104T045503_2,2024-01-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240102T123029_20240104T045503_3,2024-01-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240102T123029_20240104T045503_4,2024-01-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240102T141158_20240104T061752_0,2024-01-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240102T141158_20240104T061752_1,2024-01-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240102T141158_20240104T061752_2,2024-01-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240102T141158_20240104T061752_3,2024-01-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240102T141158_20240104T061752_4,2024-01-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240102T155328_20240104T081121_0,2024-01-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240102T155328_20240104T081121_1,2024-01-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240102T155328_20240104T081121_2,2024-01-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240102T155328_20240104T081121_3,2024-01-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240102T155328_20240104T081121_4,2024-01-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240102T173458_20240104T101204_0,2024-01-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240102T173458_20240104T101204_1,2024-01-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240102T173458_20240104T101204_2,2024-01-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240102T173458_20240104T101204_3,2024-01-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240102T173458_20240104T101204_4,2024-01-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240102T191628_20240104T113416_0,2024-01-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240102T191628_20240104T113416_1,2024-01-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240102T191628_20240104T113416_2,2024-01-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240102T191628_20240104T113416_3,2024-01-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240102T191628_20240104T113416_4,2024-01-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240102T205758_20240104T130546_0,2024-01-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240102T205758_20240104T130546_1,2024-01-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240102T205758_20240104T130546_2,2024-01-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240102T205758_20240104T130546_3,2024-01-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240102T205758_20240104T130546_4,2024-01-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240102T223929_20240104T143219_0,2024-01-02,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240102T223929_20240104T143219_1,2024-01-02,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240102T223929_20240104T143219_2,2024-01-02,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240102T223929_20240104T143219_3,2024-01-02,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240102T223929_20240104T143219_4,2024-01-02,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240103T002059_20240104T162431_0,2024-01-03,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240103T002059_20240104T162431_1,2024-01-03,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240103T002059_20240104T162431_2,2024-01-03,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240103T002059_20240104T162431_3,2024-01-03,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240103T002059_20240104T162431_4,2024-01-03,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240103T020228_20240104T181403_0,2024-01-03,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240103T020228_20240104T181403_1,2024-01-03,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240103T020228_20240104T181403_2,2024-01-03,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240103T020228_20240104T181403_3,2024-01-03,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240103T020228_20240104T181403_4,2024-01-03,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240103T034358_20240104T200042_0,2024-01-03,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240103T034358_20240104T200042_1,2024-01-03,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240103T034358_20240104T200042_2,2024-01-03,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240103T034358_20240104T200042_3,2024-01-03,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240103T034358_20240104T200042_4,2024-01-03,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240103T052528_20240104T214805_0,2024-01-03,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240103T052528_20240104T214805_1,2024-01-03,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240103T052528_20240104T214805_2,2024-01-03,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240103T052528_20240104T214805_3,2024-01-03,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240103T052528_20240104T214805_4,2024-01-03,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240103T070658_20240104T231953_0,2024-01-03,2.8200889353319073E-4,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240103T070658_20240104T231953_1,2024-01-03,1.978786221610376E-4,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240103T070658_20240104T231953_2,2024-01-03,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240103T070658_20240104T231953_3,2024-01-03,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240103T070658_20240104T231953_4,2024-01-03,5.846757605685474E-5,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240103T084829_20240105T005936_0,2024-01-03,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240103T084829_20240105T005936_1,2024-01-03,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240103T084829_20240105T005936_2,2024-01-03,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240103T084829_20240105T005936_3,2024-01-03,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240103T084829_20240105T005936_4,2024-01-03,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240103T102959_20240105T024542_0,2024-01-03,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240103T102959_20240105T024542_1,2024-01-03,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240103T102959_20240105T024542_2,2024-01-03,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240103T102959_20240105T024542_3,2024-01-03,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240103T102959_20240105T024542_4,2024-01-03,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240103T121129_20240105T044701_0,2024-01-03,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240103T121129_20240105T044701_1,2024-01-03,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240103T121129_20240105T044701_2,2024-01-03,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240103T121129_20240105T044701_3,2024-01-03,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240103T121129_20240105T044701_4,2024-01-03,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240103T135259_20240105T055434_0,2024-01-03,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240103T135259_20240105T055434_1,2024-01-03,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240103T135259_20240105T055434_2,2024-01-03,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240103T135259_20240105T055434_3,2024-01-03,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240103T135259_20240105T055434_4,2024-01-03,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240103T153428_20240105T074450_0,2024-01-03,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240103T153428_20240105T074450_1,2024-01-03,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240103T153428_20240105T074450_2,2024-01-03,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240103T153428_20240105T074450_3,2024-01-03,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240103T153428_20240105T074450_4,2024-01-03,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240103T171558_20240105T094626_0,2024-01-03,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240103T171558_20240105T094626_1,2024-01-03,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240103T171558_20240105T094626_2,2024-01-03,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240103T171558_20240105T094626_3,2024-01-03,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240103T171558_20240105T094626_4,2024-01-03,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240103T185728_20240105T112954_0,2024-01-03,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240103T185728_20240105T112954_1,2024-01-03,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240103T185728_20240105T112954_2,2024-01-03,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240103T185728_20240105T112954_3,2024-01-03,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240103T185728_20240105T112954_4,2024-01-03,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240103T203859_20240105T125252_0,2024-01-03,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240103T203859_20240105T125252_1,2024-01-03,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240103T203859_20240105T125252_2,2024-01-03,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240103T203859_20240105T125252_3,2024-01-03,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240103T203859_20240105T125252_4,2024-01-03,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240103T222029_20240105T142552_0,2024-01-03,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240103T222029_20240105T142552_1,2024-01-03,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240103T222029_20240105T142552_2,2024-01-03,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240103T222029_20240105T142552_3,2024-01-03,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240103T222029_20240105T142552_4,2024-01-03,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240104T000159_20240105T160237_0,2024-01-04,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240104T000159_20240105T160237_1,2024-01-04,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240104T000159_20240105T160237_2,2024-01-04,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240104T000159_20240105T160237_3,2024-01-04,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240104T000159_20240105T160237_4,2024-01-04,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240104T014329_20240105T174823_0,2024-01-04,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240104T014329_20240105T174823_1,2024-01-04,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240104T014329_20240105T174823_2,2024-01-04,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240104T014329_20240105T174823_3,2024-01-04,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240104T014329_20240105T174823_4,2024-01-04,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240104T032459_20240105T193649_0,2024-01-04,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240104T032459_20240105T193649_1,2024-01-04,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240104T032459_20240105T193649_2,2024-01-04,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240104T032459_20240105T193649_3,2024-01-04,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240104T032459_20240105T193649_4,2024-01-04,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240104T050629_20240105T213313_0,2024-01-04,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240104T050629_20240105T213313_1,2024-01-04,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240104T050629_20240105T213313_2,2024-01-04,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240104T050629_20240105T213313_3,2024-01-04,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240104T050629_20240105T213313_4,2024-01-04,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240104T064759_20240105T225602_0,2024-01-04,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240104T064759_20240105T225602_1,2024-01-04,1.8023270925399872E-4,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240104T064759_20240105T225602_2,2024-01-04,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240104T064759_20240105T225602_3,2024-01-04,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240104T064759_20240105T225602_4,2024-01-04,5.473824383836639E-5,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240104T082929_20240106T004114_0,2024-01-04,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
20240104T082929_20240106T004114_1,2024-01-04,,Mumbai,"{""type"":""Point"",""coordinates"":[72.8777,19.076]}"
20240104T082929_20240106T004114_2,2024-01-04,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
20240104T082929_20240106T004114_3,2024-01-04,,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
20240104T082929_20240106T004114_4,2024-01-04,,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
20240104T101059_20240106T022537_0,2024-01-04,,Delhi,"{""type"":""Point"",""coordinates"":[77.209,28.613900000000005]}"
